deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,31493,0,no missing data,31289,3e-10,6.7977e-06,0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Density,density,kg m-3,pass,31493,0,no missing data,31289,1.53e-08,0.0002028325,0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,31493,0,no missing data,31289,1.4e-09,0.0001065708,0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Practical Salinity,practical_salinity,1,pass,31493,0,no missing data,31289,1e-09,0.0001504113,0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,31493,0,no missing data,31289,0.0026947537,0.0204706804,0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,33864,0,no missing data,914,2.2e-09,5.937e-06,0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Density,density,kg m-3,pass,33864,0,no missing data,914,8.02e-08,0.0001774464,0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,33864,0,no missing data,914,7.91e-08,8.71523e-05,0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Practical Salinity,practical_salinity,1,pass,33864,0,no missing data,914,4.48e-08,0.000124273,0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_sio_mule_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,33864,0,no missing data,914,0.0028596566,0.0205904799,0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,37234,0,no missing data,37143,3e-10,6.4487e-06,0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Density,density,kg m-3,pass,37234,0,no missing data,37143,6.9e-09,0.0002311025,0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,37234,0,no missing data,37143,1.1e-09,0.0001196135,0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Practical Salinity,practical_salinity,1,pass,37234,0,no missing data,37143,2.2e-09,0.0001600273,0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_sio_mule_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,37234,0,no missing data,37143,0.002842189,0.0206201745,0
