deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-dosta_abcdjm_sio_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0002,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,33863.0,32135.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0002,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,33863.0,0.0,no missing data,921.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,33863.0,0.0,no missing data,921.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Optode Temperature,optode_temperature,ºC,pass,33863.0,0.0,no missing data,921.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,33863.0,0.0,no missing data,921.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,37234.0,0.0,no missing data,1676.0,0.0,1.3395550702,2.0,0.12
deployment0003,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,37234.0,0.0,no missing data,1676.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,37234.0,0.0,no missing data,1676.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Optode Temperature,optode_temperature,ºC,pass,37234.0,0.0,no missing data,1676.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,37234.0,0.0,no missing data,1676.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,2547.0,0.0,no missing data,29.0,0.0,0.8095097734,0.0,0.0
deployment0004,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,2547.0,0.0,no missing data,30.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,2547.0,0.0,no missing data,30.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,Optode Temperature,optode_temperature,ºC,pass,2547.0,0.0,no missing data,30.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-dosta_abcdjm_sio_instrument_recovered,telemetered-dosta_abcdjm_sio_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,2547.0,0.0,no missing data,30.0,0.0,0.0,0.0,0.0
deployment0005,recovered_host-dosta_abcdjm_sio_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
