deployment,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,3936,0,3,0,3933,99.92,10.0969,7.603,15.3951,2.3165
deployment0001,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,3936,2,3296,0,638,16.21,6.5915,3.8632,10.1413,1.0766
deployment0002,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,4219,0,0,0,4219,100.0,10.3712,7.3373,16.0676,2.7425
deployment0002,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,4219,0,0,4003,216,5.12,8.1292,8.0911,8.1573,0.0154
deployment0003,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,4653,0,0,0,4653,100.0,8.7776,5.9877,15.0028,2.3426
deployment0003,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,4653,47,83,0,4523,97.21,8.0522,6.9567,9.1109,0.1317
deployment0004,recovered_host,phsen_abcdef_imodem_instrument_recovered,phsen_thermistor_temperature,V,-9999999.0,314,0,0,0,314,100.0,9.3817,6.8061,13.9249,2.1658
deployment0004,recovered_host,phsen_abcdef_imodem_instrument_recovered,phsen_abcdef_ph_seawater,1,-9999999.0,314,2,203,0,109,34.71,8.0643,7.9356,8.2663,0.0309
deployment0005,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,4464,3,0,0,4461,99.93,7.4544,5.4348,15.5107,1.6454
deployment0005,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,4464,1,0,0,4463,99.98,7.951,6.4993,9.3319,0.3138
