status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL276/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2014-06-15T05:30:00.000Z&endDT=2015-06-02T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165549-GP05MOAS-GL276-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL276/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2014-06-15T05:30:00.000Z&endDT=2015-06-02T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165602-GP05MOAS-GL276-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL361/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2014-02-20T00:00:00.000Z&endDT=2014-05-04T00:00:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL361/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2014-02-20T00:00:00.000Z&endDT=2014-05-04T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165615-GP05MOAS-GL361-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL362/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2014-08-29T00:00:00.000Z&endDT=2014-09-04T00:00:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL362/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2014-08-29T00:00:00.000Z&endDT=2014-09-04T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165628-GP05MOAS-GL362-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL363/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2013-07-19T23:00:00.000Z&endDT=2016-07-05T07:08:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165640-GP05MOAS-GL363-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL363/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2013-07-19T23:00:00.000Z&endDT=2016-07-05T07:08:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165652-GP05MOAS-GL363-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL364/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2013-07-19T23:00:00.000Z&endDT=2014-06-15T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165705-GP05MOAS-GL364-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL364/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2013-07-19T23:00:00.000Z&endDT=2014-06-15T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165718-GP05MOAS-GL364-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL365/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2013-07-19T23:00:00.000Z&endDT=2017-05-21T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165730-GP05MOAS-GL365-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL365/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2013-07-19T23:00:00.000Z&endDT=2017-05-21T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165744-GP05MOAS-GL365-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL453/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2014-08-29T00:00:00.000Z&endDT=2014-10-30T00:00:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL453/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2014-08-29T00:00:00.000Z&endDT=2014-10-30T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165757-GP05MOAS-GL453-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL523/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2015-06-02T04:40:00.000Z&endDT=2016-08-28T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165811-GP05MOAS-GL523-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL523/04-CTDGVM000/telemetered/ctdgv_m_glider_instrument?beginDT=2015-06-02T04:40:00.000Z&endDT=2016-08-28T00:00:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165823-GP05MOAS-GL523-04-CTDGVM000-telemetered-ctdgv_m_glider_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP05MOAS/GL525/04-CTDGVM000/recovered_host/ctdgv_m_glider_instrument_recovered?beginDT=2015-06-02T11:25:00.000Z&endDT=2016-07-06T16:52:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T165839-GP05MOAS-GL525-04-CTDGVM000-recovered_host-ctdgv_m_glider_instrument_recovered/catalog.html
