deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",29913,0,0,0,0,29913,100.0,1026.9201,1026.6196,1027.0713,0.1262
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",29913,0,0,0,0,29913,100.0,34.1644,34.0874,34.2084,0.0306
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",29913,0,0,0,0,29913,100.0,6.208,5.2063,8.0947,0.8131
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",29913,0,0,0,20,29893,99.93,12.2937,9.3244,14.8931,0.5901
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",29913,0,0,0,0,29913,100.0,3.382,3.2937,3.5485,0.0711
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",2617043,0,0,0,0,2617043,100.0,1026.7784,1026.3609,1026.9393,0.1023
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2617043,0,0,0,7,2617036,100.0,34.1067,33.9787,34.2535,0.0308
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",2617043,0,0,0,0,2617043,100.0,6.9476,5.9365,8.9838,0.7673
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",2617043,0,0,0,1010,2616033,99.96,12.6073,9.6453,15.4812,0.5884
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",2617043,0,0,0,0,2617043,100.0,3.4434,3.3521,3.6351,0.0702
