deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,3706779,70270,no missing data,3569550,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,3706779,0,no missing data,3639820,0.0,0.0488,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,3706779,0,no missing data,3639820,0.0,0.1806,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,3706779,0,no missing data,3639820,0.0,1.6947e-05,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,3706779,70270,no missing data,3569550,0.0,0.0001145737,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,3706779,3706779,No valid data to compare,0,,,,
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,4662394,0,"{'missing_data_gaps': [['2016-11-26T07:45:15', '2016-11-26T23:48:02']], 'n_missing': [9645], 'n_missing_total': 9645, 'n_missing_days_total': 1}",4565085,0.0,0.0006466066,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,4662394,0,"{'missing_data_gaps': [['2016-11-26T07:45:15', '2016-11-26T23:48:02']], 'n_missing': [9645], 'n_missing_total': 9645, 'n_missing_days_total': 1}",4565085,0.0,8.3853,10.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,4662394,0,"{'missing_data_gaps': [['2016-11-26T07:45:15', '2016-11-26T23:48:02']], 'n_missing': [9645], 'n_missing_total': 9645, 'n_missing_days_total': 1}",4565085,0.0,4.968,60.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,4662394,0,"{'missing_data_gaps': [['2016-11-26T07:45:15', '2016-11-26T23:48:02']], 'n_missing': [9645], 'n_missing_total': 9645, 'n_missing_days_total': 1}",4565085,0.0,0.00734514,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,4662394,0,"{'missing_data_gaps': [['2016-11-26T07:45:15', '2016-11-26T23:48:02']], 'n_missing': [9645], 'n_missing_total': 9645, 'n_missing_days_total': 1}",4565085,0.0,0.0496583423,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,4662394,4662394,No valid data to compare,0,,,,
