deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2801926,0,0,0,99,2801827,100.0,-0.0003,-0.1906,0.1898,0.0381
deployment0001,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2801926,0,0,0,6,2801920,100.0,0.0196,-0.24,0.2327,0.0519
deployment0001,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_ascending,m s-1,-9999999.0,"[-1.0, 1.0]",2801926,0,0,0,0,2801926,100.0,-0.0554,-0.3146,0.2617,0.1401
deployment0001,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_descending,m s-1,-9999999.0,"[-1.0, 1.0]",2801926,0,0,0,0,2801926,100.0,0.0308,-0.2806,0.319,0.1404
deployment0002,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3560314,0,0,0,8,3560306,100.0,0.0117,-0.238,0.2621,0.0503
deployment0002,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3560314,0,0,0,1,3560313,100.0,0.0107,-0.2062,0.2702,0.0537
deployment0002,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_ascending,m s-1,-9999999.0,"[-1.0, 1.0]",3560314,0,0,0,0,3560314,100.0,-0.0605,-0.3676,0.3167,0.1498
deployment0002,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_descending,m s-1,-9999999.0,"[-1.0, 1.0]",3560314,0,0,0,0,3560314,100.0,0.074,-0.4217,0.4398,0.156
deployment0003,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3863304,0,0,0,80,3863224,100.0,0.0024,-0.2015,0.207,0.0409
deployment0003,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3863304,0,0,0,18,3863286,100.0,0.002,-0.2669,0.2699,0.0541
deployment0003,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_ascending,m s-1,-9999999.0,"[-1.0, 1.0]",3863304,0,0,16368,1679,3845257,99.53,-0.0236,-0.9725,0.9244,0.1887
deployment0003,recovered_wfp,vel3d_l_wfp_instrument_recovered,vel3d_l_upward_velocity_descending,m s-1,-9999999.0,"[-1.0, 1.0]",3863304,0,0,0,0,3863304,100.0,0.051,-0.2969,0.3672,0.1302
