deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,streamed,ctdpf_optode_sample,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",22218694,0,0,0,2319,22216375,99.99,1027.3229,1027.0348,1027.4875,0.0577
deployment0001,streamed,ctdpf_optode_sample,practical_salinity,1,-9999999.0,"[0.0, 42.0]",22218694,0,0,0,5623,22213071,99.97,33.8758,33.6248,34.0277,0.049
deployment0001,streamed,ctdpf_optode_sample,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",22218694,0,0,0,239,22218455,100.0,103.0071,68.8632,163.7235,12.1417
deployment0001,streamed,ctdpf_optode_sample,seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",22218694,0,0,0,0,22218694,100.0,7.7797,7.003,8.7529,0.2218
deployment0001,streamed,ctdpf_optode_sample,seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",22218694,0,0,0,24455,22194239,99.89,195.6035,193.5401,199.8395,0.8307
deployment0001,streamed,ctdpf_optode_sample,seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",22218694,0,0,0,817,22217877,100.0,3.5052,3.4084,3.589,0.0193
deployment0001,streamed,ctdpf_optode_sample,ctd_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",22218694,0,0,0,234,22218460,100.0,130.899,87.531,207.9435,15.4069
deployment0002,streamed,ctdpf_optode_sample,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",31997592,0,0,0,2973,31994619,99.99,1027.3338,1026.883,1027.5269,0.0775
deployment0002,streamed,ctdpf_optode_sample,practical_salinity,1,-9999999.0,"[0.0, 42.0]",31997592,0,0,0,3577,31994015,99.99,33.8641,33.4968,33.965,0.0437
deployment0002,streamed,ctdpf_optode_sample,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",31997592,0,0,1,322,31997269,100.0,111.9962,77.6895,170.4331,11.6877
deployment0002,streamed,ctdpf_optode_sample,seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",31997592,0,0,0,2,31997590,100.0,7.7875,6.8516,9.2805,0.3482
deployment0002,streamed,ctdpf_optode_sample,seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",31997592,0,0,0,13459,31984133,99.96,200.3187,197.901,204.7646,0.881
deployment0002,streamed,ctdpf_optode_sample,seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",31997592,0,0,0,1684,31995908,99.99,3.505,3.3557,3.6208,0.0293
deployment0002,streamed,ctdpf_optode_sample,ctd_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",31997592,0,0,2,363,31997227,100.0,142.2859,98.703,216.3752,14.8158
deployment0003,streamed,ctdpf_optode_sample,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",28980801,0,0,0,640574,28340227,97.79,1027.3334,1021.548,1027.5072,0.3075
deployment0003,streamed,ctdpf_optode_sample,practical_salinity,1,-9999999.0,"[0.0, 42.0]",28980801,0,0,0,637135,28343666,97.8,33.8811,26.5015,34.0468,0.3893
deployment0003,streamed,ctdpf_optode_sample,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",28980801,0,0,0,107648,28873153,99.63,242.7998,234.8425,261.5442,3.5546
deployment0003,streamed,ctdpf_optode_sample,seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",28980801,0,0,0,0,28980801,100.0,7.7201,6.786,8.7269,0.3406
deployment0003,streamed,ctdpf_optode_sample,seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",28980801,0,0,0,7705,28973096,99.97,195.0448,192.8538,199.0337,0.7934
deployment0003,streamed,ctdpf_optode_sample,seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",28980801,0,0,0,605833,28374968,97.91,3.4997,2.7821,3.5934,0.0512
deployment0003,streamed,ctdpf_optode_sample,ctd_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",28980801,0,0,0,0,28980801,100.0,308.2136,298.7605,318.159,3.3849
deployment0004,streamed,ctdpf_optode_sample,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",27351546,0,0,0,22598,27328948,99.92,1027.3707,1026.8146,1027.5178,0.0521
deployment0004,streamed,ctdpf_optode_sample,practical_salinity,1,-9999999.0,"[0.0, 42.0]",27351546,0,0,0,22926,27328620,99.92,33.9393,33.3003,34.0231,0.0243
deployment0004,streamed,ctdpf_optode_sample,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",27351546,0,0,0,3,27351543,100.0,105.8086,56.5996,145.0901,13.4547
deployment0004,streamed,ctdpf_optode_sample,seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",27351546,0,0,0,0,27351546,100.0,7.7772,7.0287,8.8209,0.2614
deployment0004,streamed,ctdpf_optode_sample,seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",27351546,0,0,0,178798,27172748,99.35,195.0615,192.5378,201.2108,1.0377
deployment0004,streamed,ctdpf_optode_sample,seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",27351546,0,0,0,13983,27337563,99.95,3.5108,3.383,3.5991,0.0227
deployment0004,streamed,ctdpf_optode_sample,ctd_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",27351546,0,0,3,0,27351543,100.0,134.5185,72.009,184.423,17.0624
