deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,streamed,pco2w_a_sami_data_record,int_ctd_pressure,[],nan,"[None, None]",5582,110,0,no global ranges,0,5472,98.03,167.1344,19.5268,194.3935,42.5088
deployment0001,streamed,pco2w_a_sami_data_record,pco2_seawater,['µatm'],-9999999.0,"[200.0, 2000.0]",5582,0,0,57,0,5525,98.98,1067.8364,358.9505,1981.275,341.1403
deployment0001,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature,['ºC'],-9999999.0,"[-2.0, 40.0]",5582,0,0,0,1,5581,99.98,8.0407,7.0716,14.1306,1.2547
deployment0002,streamed,pco2w_a_sami_data_record,int_ctd_pressure,['dbar'],nan,"[None, None]",8223,0,0,no global ranges,0,8223,100.0,148.728,12.0974,198.2112,59.4326
deployment0002,streamed,pco2w_a_sami_data_record,pco2_seawater,['µatm'],-9999999.0,"[200.0, 2000.0]",8223,403,0,0,0,7820,95.1,555.8502,258.1521,845.0337,125.8805
deployment0002,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature,['ºC'],-9999999.0,"[-2.0, 40.0]",8223,0,0,0,16,8207,99.81,8.4223,6.8061,16.6508,1.6121
deployment0003,streamed,pco2w_a_sami_data_record,int_ctd_pressure,['dbar'],nan,"[None, None]",3907,0,0,no global ranges,0,3907,100.0,118.079,14.0442,191.8688,62.2962
deployment0003,streamed,pco2w_a_sami_data_record,pco2_seawater,['µatm'],-9999999.0,"[200.0, 2000.0]",3907,121,0,49,6,3731,95.5,426.2587,249.635,1068.4394,128.1161
deployment0003,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature,['ºC'],-9999999.0,"[-2.0, 40.0]",3907,0,0,146,0,3761,96.26,9.9265,7.0495,17.8516,3.1307
deployment0004,streamed,pco2w_a_sami_data_record,int_ctd_pressure,['dbar'],nan,"[None, None]",9353,0,0,no global ranges,0,9353,100.0,109.0844,13.5112,190.9039,59.239
deployment0004,streamed,pco2w_a_sami_data_record,pco2_seawater,['µatm'],-9999999.0,"[200.0, 2000.0]",9353,0,136,0,0,9217,98.55,616.6815,268.9709,1144.8235,178.8122
deployment0004,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature,['ºC'],-9999999.0,"[-2.0, 40.0]",9353,0,0,0,0,9353,100.0,8.8639,6.8061,18.6849,2.0682
