type,reference_designator,deployment,start_date,end_date,author,modified,image_url,comment
exclusion,GA01SUMO-RID16-06-DOSTAD000,3.0,2017-08-13T00:00:00,2018-01-14T10:24:00,Lori,2019-03-15T19:19:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-RID16-06-DOSTAD000/deployment0003_issue2/,Oxygen concentration and saturation drop off - data are suspect and should be annotated.
exclusion,GA01SUMO-RID16-06-DOSTAD000,1.0,2015-05-01T00:00:00,2015-11-26T10:08:00,Lori,2019-03-07T19:35:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-RID16-06-DOSTAD000/deployment0001_issue/,"Dissolved oxygen noise increased, possibly from biofouling. (annotation ID 769)"
annotation,GA01SUMO-RII11-02-DOSTAD031,3.0,2016-10-27T01:47:00,2018-01-14T10:24:00,Lori,2019-03-07T20:34:00,,"According to annotation ID 86, the data from this deployment are suspect due to a vendor calibration error. When this issue is resolved the annotation should be updated."
exclusion,GA01SUMO-RII11-02-DOSTAD031,3.0,2017-03-11T00:00:00,2018-01-14T10:24:00,Lori,2019-03-15T19:27:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-RII11-02-DOSTAD031/deployment0003_issue/,"According to annotation ID 389, the cable to the CTD was severed. Looking at the data, this issue appeared to occur on or around 3/11/2017. The annotation should be updated."
annotation,GA01SUMO-RII11-02-DOSTAD032,3.0,2016-10-27T01:47:00,2018-01-14T10:24:00,Lori,2019-03-07T20:35:00,,"According to annotation ID 87, the data from this deployment are suspect due to a vendor calibration error. When this issue is resolved the annotation should be updated.

"
exclusion,GA01SUMO-RII11-02-DOSTAD032,2.0,2016-04-21T00:00:00,2016-06-04T04:01:00,Lori,2019-03-15T19:29:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-RII11-02-DOSTAD032/deployment0002_issue/,Optode temperature and dissolved oxygen values start to become unreasonable. This issue should be investigated and annotated.
exclusion,CE09OSPM-WFP01-02-DOFSTK000,7.0,2017-04-12T00:00:00,2017-04-26T00:00:00,Leila,2019-03-28T15:41:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE09OSPM/CE09OSPM-WFP01-02-DOFSTK000/profile_plots/recovered_wfp/deployment0007/CE09OSPM-WFP01-02-DOFSTK000-recovered_wfp-dofst_k_wfp_instrument_recovered-dofst_k_oxygen_l2.png,Oxygen data after June 2017 look suspect - data dropped below zero.
comment,CE09OSPM-WFP01-02-DOFSTK000,2.0,,,Leila,2019-03-28T15:39:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE09OSPM/CE09OSPM-WFP01-02-DOFSTK000/profile_plots/deployment0002_CE09OSPM-WFP01-02-DOFSTK000-telemetered-dofst_k_wfp_instrument_dofst_k_oxygen_l2.png,unreasonable pressure and DO in telemetered data at the end of Dec 2015 (negative values up to -8000 dbar) 
exclusion,CE09OSPM-WFP01-02-DOFSTK000,3.0,2015-04-06T00:00:00,2015-04-24T00:00:00,Leila,2019-03-28T15:40:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/CE/CE09OSPM/CE09OSPM-WFP01-02-DOFSTK000/profile_plots/recovered_wfp/deployment0003/CE09OSPM-WFP01-02-DOFSTK000-recovered_wfp-dofst_k_wfp_instrument_recovered-dofst_k_oxygen_l2.png,suspect data - spikes in DO data exceeded global ranges after mid April 2014.
exclusion,GA01SUMO-SBD11-04-DOSTAD000,2.0,2016-02-01T00:00:00,2016-11-08T10:10:00,Lori,2019-03-07T20:36:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-SBD11-04-DOSTAD000/data_issue/,"Data are unreasonable, likely due to biofouling (see other note)."
exclusion,GA01SUMO-SBD11-04-DOSTAD000,3.0,2016-10-27T01:47:00,2018-01-14T10:24:00,Lori,2019-03-07T20:36:00,https://marine.rutgers.edu/cool/ooi/data-eval/data_review/GA/GA01SUMO/GA01SUMO-SBD11-04-DOSTAD000/data_issue/,"Data are unreasonable, likely due to biofouling (see other note)."
comment,CP03ISSM-RID27-03-CTDBPC000,,,,Leila,2019-02-28T21:05:00,,for all deployments data on from different recovery methods cannot be compared because the timestamps do not match.
annotation,CP03ISSM-RID27-03-CTDBPC000,2.0,,,Leila,2019-02-28T21:10:00,,annotation IDs: 743 & 744 for the 2 gaps identified in the data are incomplete.
annotation,CP03ISSM-RID27-03-CTDBPC000,4.0,,,Leila,2019-02-28T21:13:00,,3 days gap right before the end-date of deployment are not annotated in the system.
annotation,CP03ISSM-RID27-03-CTDBPC000,5.0,,,Leila,2019-03-01T16:58:00,,Annotation Ids: 746 & 747 need to be updated in the system to explain the gaps identified in the data. Other gaps at the start and end of the deployment are not annotated in the system.
